0,"Legislative and senior management occupations","This broad category comprises legislators and senior management occupations.","Membres des corps législatifs et cadres supérieurs/cadres supérieures","Cette grande catégorie comprend les membres de corps législatifs et les cadres supérieurs.",1,,,0
62,"Retail sales and service supervisors and specialized occupations in sales and services","This major group comprises retail sales and service supervisors and specialized occupations in sales and services. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 2. Occupations classified in TEER 2, as those included in this group with a 2 as the second digit of their code, typically require completion of a post-secondary education program of two to three years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of two to five years; or supervisory or significant safety responsibilities; or the accumulation of several years of experience in a related occupation found in TEER 3, when applicable (TEER 3 includes occupations with a 3 as a second digit in their code).","Personnel de supervision des ventes au détail et des services et personnel des ventes et des services spécialisés","Ce grand groupe comprend le personnel de supervision des ventes au détail et des services et personnel des ventes et des services spécialisés. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 2. Les professions du FEER 2, comme celles incluses dans ce grand groupe avec 2 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de deux à trois ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de deux à cinq ans; ou des responsabilités de supervision ou des responsabilités importantes en matières de sécurité; ou l'accumulation de plusieurs années d'expérience dans une profession connexe trouvée dans FEER 3, le cas échéant (FEER 3 inclut des professions avec 3 comme deuxième chiffre dans leur code).",2,2,6,62
63,"Occupations in sales and services","This major group comprises occupations in sales and services. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 3. Occupations classified in TEER 3, as those included in this group with a 3 as the second digit of their code, typically require completion of a post-secondary education program of less than two years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of less than two years; or more than six months of on-the-job training, training courses or specific work experience with some secondary school education; or the accumulation of several years of experience in a related occupation found in TEER 4, when applicable (TEER 4 includes occupations with a 4 as a second digit in their code).","Personnel des ventes et des services","Ce grand groupe comprend le personnel des ventes et des services. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 3. Les professions du FEER 3, comme celles incluses dans ce grand groupe avec 3 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de moins de deux ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de moins de deux ans; ou de la formation en cours d'emploi, cours de formation ou expérience de travail particulière de plus de six mois ou des études secondaires partielles; ou l'accumulation de plusieurs années d'expérience d'une profession connexe trouvée dans FEER 4, le cas échéant (FEER 4 inclut des professions avec 4 comme deuxième chiffre dans leur code).",2,3,6,
70,"Middle management occupations in trades and transportation","This major group comprises middle management occupations in trades and transportation. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 0. The occupations classified under TEER 0, as those included in this group with zero (0) as the second digit of their code, are considered management occupations.","Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique","Ce grand groupe comprend les cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion.",2,0,7,
75,"Helpers and labourers and other transport drivers, operators and labourers","This major group comprises helpers and labourers and other transport drivers, operators and labourers. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 5. Occupations classified in TEER 5, as those included in this group with a 5 as the second digit of their code, are typically accessible with short work demonstration and no formal educational requirements.","Aides et ouvriers / ouvrières et autres opérateurs / opératrices et manoeuvres de transport et personnel assimilé","Ce grand groupe comprend les aides et ouvriers/ouvrières et autres opérateurs/opératrices et manoeuvres de transport et personnel assimilé. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 5. Les professions du FEER 5, comme celles incluses dans ce grand groupe avec 5 comme deuxième chiffre dans leur code, sont généralement accessibles avec une brève démonstration de travail et aucune exigence en matière de formation scolaire formelle.",2,5,7,
62,"Retail sales and service supervisors and specialized occupations in sales and services","This major group comprises retail sales and service supervisors and specialized occupations in sales and services. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 2. Occupations classified in TEER 2, as those included in this group with a 2 as the second digit of their code, typically require completion of a post-secondary education program of two to three years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of two to five years; or supervisory or significant safety responsibilities; or the accumulation of several years of experience in a related occupation found in TEER 3, when applicable (TEER 3 includes occupations with a 3 as a second digit in their code).","Personnel de supervision des ventes au détail et des services et personnel des ventes et des services spécialisés","Ce grand groupe comprend le personnel de supervision des ventes au détail et des services et personnel des ventes et des services spécialisés. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 2. Les professions du FEER 2, comme celles incluses dans ce grand groupe avec 2 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de deux à trois ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de deux à cinq ans; ou des responsabilités de supervision ou des responsabilités importantes en matières de sécurité; ou l'accumulation de plusieurs années d'expérience dans une profession connexe trouvée dans FEER 3, le cas échéant (FEER 3 inclut des professions avec 3 comme deuxième chiffre dans leur code).",2,2,6,63
63,"Occupations in sales and services","This major group comprises occupations in sales and services. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 3. Occupations classified in TEER 3, as those included in this group with a 3 as the second digit of their code, typically require completion of a post-secondary education program of less than two years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of less than two years; or more than six months of on-the-job training, training courses or specific work experience with some secondary school education; or the accumulation of several years of experience in a related occupation found in TEER 4, when applicable (TEER 4 includes occupations with a 4 as a second digit in their code).","Personnel des ventes et des services","Ce grand groupe comprend le personnel des ventes et des services. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 3. Les professions du FEER 3, comme celles incluses dans ce grand groupe avec 3 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de moins de deux ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de moins de deux ans; ou de la formation en cours d'emploi, cours de formation ou expérience de travail particulière de plus de six mois ou des études secondaires partielles; ou l'accumulation de plusieurs années d'expérience d'une profession connexe trouvée dans FEER 4, le cas échéant (FEER 4 inclut des professions avec 4 comme deuxième chiffre dans leur code).",2,3,6,
64,"Sales and service representatives and other customer and personal services occupations","This major group comprises sales and service representatives and other customer and personal services occupations. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 4. Occupations classified in TEER 4, as those included in this group with a 4 as the second digit of their code, typically require completion of secondary school; or several weeks of on-the-job training with some secondary school education; or experience in a related occupation from TEER 5, when applicable (TEER 5 includes occupations with a 5 as a second digit in their code).","Représentants / représentantes des ventes et du service et autres professions des services à la clientèle et personnels","Ce grand groupe comprend les représentants/représentantes des ventes et du service et autres professions des services à la clientèle et personnels. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 4. Les professions du FEER 4, comme celles incluses dans ce grand groupe avec 4 comme deuxième chiffre dans leur code, exigent généralement l'achèvement des études secondaires; ou plusieurs semaines de formation en cours d'emploi avec des études secondaires partielles; ou de l'expérience liée aux professions du FEER 5, le cas échéant (FEER 5 inclut des professions avec 5 comme deuxième chiffre dans leur code).",2,4,6,
65,"Sales and service support occupations","This major group comprises sales and service support occupations. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 5. Occupations classified in TEER 5, as those included in this group with a 5 as the second digit of their code, are typically accessible with short work demonstration and no formal educational requirements.","Personnel de soutien aux ventes et services","Ce grand groupe comprend le personnel de soutien aux ventes et services. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 5. Les professions du FEER 5, comme celles incluses dans ce grand groupe avec 5 comme deuxième chiffre dans leur code, sont généralement accessibles avec une brève démonstration de travail et aucune exigence en matière de formation scolaire formelle.",2,5,6,
62,"Retail sales and service supervisors and specialized occupations in sales and services","This major group comprises retail sales and service supervisors and specialized occupations in sales and services. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 2. Occupations classified in TEER 2, as those included in this group with a 2 as the second digit of their code, typically require completion of a post-secondary education program of two to three years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of two to five years; or supervisory or significant safety responsibilities; or the accumulation of several years of experience in a related occupation found in TEER 3, when applicable (TEER 3 includes occupations with a 3 as a second digit in their code).","Personnel de supervision des ventes au détail et des services et personnel des ventes et des services spécialisés","Ce grand groupe comprend le personnel de supervision des ventes au détail et des services et personnel des ventes et des services spécialisés. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 2. Les professions du FEER 2, comme celles incluses dans ce grand groupe avec 2 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de deux à trois ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de deux à cinq ans; ou des responsabilités de supervision ou des responsabilités importantes en matières de sécurité; ou l'accumulation de plusieurs années d'expérience dans une profession connexe trouvée dans FEER 3, le cas échéant (FEER 3 inclut des professions avec 3 comme deuxième chiffre dans leur code).",2,2,6,64
64,"Sales and service representatives and other customer and personal services occupations","This major group comprises sales and service representatives and other customer and personal services occupations. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 4. Occupations classified in TEER 4, as those included in this group with a 4 as the second digit of their code, typically require completion of secondary school; or several weeks of on-the-job training with some secondary school education; or experience in a related occupation from TEER 5, when applicable (TEER 5 includes occupations with a 5 as a second digit in their code).","Représentants / représentantes des ventes et du service et autres professions des services à la clientèle et personnels","Ce grand groupe comprend les représentants/représentantes des ventes et du service et autres professions des services à la clientèle et personnels. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 4. Les professions du FEER 4, comme celles incluses dans ce grand groupe avec 4 comme deuxième chiffre dans leur code, exigent généralement l'achèvement des études secondaires; ou plusieurs semaines de formation en cours d'emploi avec des études secondaires partielles; ou de l'expérience liée aux professions du FEER 5, le cas échéant (FEER 5 inclut des professions avec 5 comme deuxième chiffre dans leur code).",2,4,6,
45,"Student monitors, crossing guards and related occupations","This major group comprises student monitors, crossing guards and related occupations. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 5. Occupations classified in TEER 5, as those included in this group with a 5 as the second digit of their code, are typically accessible with short work demonstration and no formal educational requirements.","Surveillants / surveillantes d’élèves, brigadiers / brigadières et autres professions connexes","Ce grand groupe comprend les surveillants/surveillantes d'élèves, brigadiers/brigadières et autres professions connexes. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 5. Les professions du FEER 5, comme celles incluses dans ce grand groupe avec 5 comme deuxième chiffre dans leur code, sont généralement accessibles avec une brève démonstration de travail et aucune exigence en matière de formation scolaire formelle.",2,5,4,65
63,"Occupations in sales and services","This major group comprises occupations in sales and services. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 3. Occupations classified in TEER 3, as those included in this group with a 3 as the second digit of their code, typically require completion of a post-secondary education program of less than two years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of less than two years; or more than six months of on-the-job training, training courses or specific work experience with some secondary school education; or the accumulation of several years of experience in a related occupation found in TEER 4, when applicable (TEER 4 includes occupations with a 4 as a second digit in their code).","Personnel des ventes et des services","Ce grand groupe comprend le personnel des ventes et des services. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 3. Les professions du FEER 3, comme celles incluses dans ce grand groupe avec 3 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de moins de deux ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de moins de deux ans; ou de la formation en cours d'emploi, cours de formation ou expérience de travail particulière de plus de six mois ou des études secondaires partielles; ou l'accumulation de plusieurs années d'expérience d'une profession connexe trouvée dans FEER 4, le cas échéant (FEER 4 inclut des professions avec 4 comme deuxième chiffre dans leur code).",2,3,6,
64,"Sales and service representatives and other customer and personal services occupations","This major group comprises sales and service representatives and other customer and personal services occupations. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 4. Occupations classified in TEER 4, as those included in this group with a 4 as the second digit of their code, typically require completion of secondary school; or several weeks of on-the-job training with some secondary school education; or experience in a related occupation from TEER 5, when applicable (TEER 5 includes occupations with a 5 as a second digit in their code).","Représentants / représentantes des ventes et du service et autres professions des services à la clientèle et personnels","Ce grand groupe comprend les représentants/représentantes des ventes et du service et autres professions des services à la clientèle et personnels. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 4. Les professions du FEER 4, comme celles incluses dans ce grand groupe avec 4 comme deuxième chiffre dans leur code, exigent généralement l'achèvement des études secondaires; ou plusieurs semaines de formation en cours d'emploi avec des études secondaires partielles; ou de l'expérience liée aux professions du FEER 5, le cas échéant (FEER 5 inclut des professions avec 5 comme deuxième chiffre dans leur code).",2,4,6,
65,"Sales and service support occupations","This major group comprises sales and service support occupations. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 5. Occupations classified in TEER 5, as those included in this group with a 5 as the second digit of their code, are typically accessible with short work demonstration and no formal educational requirements.","Personnel de soutien aux ventes et services","Ce grand groupe comprend le personnel de soutien aux ventes et services. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 5. Les professions du FEER 5, comme celles incluses dans ce grand groupe avec 5 comme deuxième chiffre dans leur code, sont généralement accessibles avec une brève démonstration de travail et aucune exigence en matière de formation scolaire formelle.",2,5,6,
65,"Sales and service support occupations","This major group comprises sales and service support occupations. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 5. Occupations classified in TEER 5, as those included in this group with a 5 as the second digit of their code, are typically accessible with short work demonstration and no formal educational requirements.","Personnel de soutien aux ventes et services","Ce grand groupe comprend le personnel de soutien aux ventes et services. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 5. Les professions du FEER 5, comme celles incluses dans ce grand groupe avec 5 comme deuxième chiffre dans leur code, sont généralement accessibles avec une brève démonstration de travail et aucune exigence en matière de formation scolaire formelle.",2,5,6,66
65,"Sales and service support occupations","This major group comprises sales and service support occupations. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 5. Occupations classified in TEER 5, as those included in this group with a 5 as the second digit of their code, are typically accessible with short work demonstration and no formal educational requirements.","Personnel de soutien aux ventes et services","Ce grand groupe comprend le personnel de soutien aux ventes et services. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 5. Les professions du FEER 5, comme celles incluses dans ce grand groupe avec 5 comme deuxième chiffre dans leur code, sont généralement accessibles avec une brève démonstration de travail et aucune exigence en matière de formation scolaire formelle.",2,5,6,67
73,"General trades","This major group comprises general trades. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 3. Occupations classified in TEER 3, as those included in this group with a 3 as the second digit of their code, typically require completion of a post-secondary education program of less than two years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of less than two years; or more than six months of on-the-job training, training courses or specific work experience with some secondary school education; or the accumulation of several years of experience in a related occupation found in TEER 4, when applicable (TEER 4 includes occupations with a 4 as a second digit in their code).","Métiers généraux","Ce grand groupe comprend les métiers généraux. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 3. Les professions du FEER 3, comme celles incluses dans ce grand groupe avec 3 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de moins de deux ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de moins de deux ans; ou de la formation en cours d'emploi, cours de formation ou expérience de travail particulière de plus de six mois ou des études secondaires partielles; ou l'accumulation de plusieurs années d'expérience d'une profession connexe trouvée dans FEER 4, le cas échéant (FEER 4 inclut des professions avec 4 comme deuxième chiffre dans leur code).",2,3,7,
72,"Technical trades and transportation officers and controllers","This major group comprises technical trades and transportation officers and controllers. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 2. Occupations classified in TEER 2, as those included in this group with a 2 as the second digit of their code, typically require completion of a post-secondary education program of two to three years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of two to five years; or supervisory or significant safety responsibilities; or the accumulation of several years of experience in a related occupation found in TEER 3, when applicable (TEER 3 includes occupations with a 3 as a second digit in their code).","Officiers / officières et contrôleurs / contrôleuses des métiers techniques et des transports","Ce grand groupe comprend les officiers/officières et contrôleurs/contrôleuses des métiers techniques et des transports. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 2. Les professions du FEER 2, comme celles incluses dans ce grand groupe avec 2 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de deux à trois ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de deux à cinq ans; ou des responsabilités de supervision ou des responsabilités importantes en matières de sécurité; ou l'accumulation de plusieurs années d'expérience dans une profession connexe trouvée dans FEER 3, le cas échéant (FEER 3 inclut des professions avec 3 comme deuxième chiffre dans leur code).",2,2,7,72
73,"General trades","This major group comprises general trades. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 3. Occupations classified in TEER 3, as those included in this group with a 3 as the second digit of their code, typically require completion of a post-secondary education program of less than two years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of less than two years; or more than six months of on-the-job training, training courses or specific work experience with some secondary school education; or the accumulation of several years of experience in a related occupation found in TEER 4, when applicable (TEER 4 includes occupations with a 4 as a second digit in their code).","Métiers généraux","Ce grand groupe comprend les métiers généraux. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 3. Les professions du FEER 3, comme celles incluses dans ce grand groupe avec 3 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de moins de deux ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de moins de deux ans; ou de la formation en cours d'emploi, cours de formation ou expérience de travail particulière de plus de six mois ou des études secondaires partielles; ou l'accumulation de plusieurs années d'expérience d'une profession connexe trouvée dans FEER 4, le cas échéant (FEER 4 inclut des professions avec 4 comme deuxième chiffre dans leur code).",2,3,7,
72,"Technical trades and transportation officers and controllers","This major group comprises technical trades and transportation officers and controllers. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 2. Occupations classified in TEER 2, as those included in this group with a 2 as the second digit of their code, typically require completion of a post-secondary education program of two to three years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of two to five years; or supervisory or significant safety responsibilities; or the accumulation of several years of experience in a related occupation found in TEER 3, when applicable (TEER 3 includes occupations with a 3 as a second digit in their code).","Officiers / officières et contrôleurs / contrôleuses des métiers techniques et des transports","Ce grand groupe comprend les officiers/officières et contrôleurs/contrôleuses des métiers techniques et des transports. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 2. Les professions du FEER 2, comme celles incluses dans ce grand groupe avec 2 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de deux à trois ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de deux à cinq ans; ou des responsabilités de supervision ou des responsabilités importantes en matières de sécurité; ou l'accumulation de plusieurs années d'expérience dans une profession connexe trouvée dans FEER 3, le cas échéant (FEER 3 inclut des professions avec 3 comme deuxième chiffre dans leur code).",2,2,7,73
73,"General trades","This major group comprises general trades. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 3. Occupations classified in TEER 3, as those included in this group with a 3 as the second digit of their code, typically require completion of a post-secondary education program of less than two years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of less than two years; or more than six months of on-the-job training, training courses or specific work experience with some secondary school education; or the accumulation of several years of experience in a related occupation found in TEER 4, when applicable (TEER 4 includes occupations with a 4 as a second digit in their code).","Métiers généraux","Ce grand groupe comprend les métiers généraux. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 3. Les professions du FEER 3, comme celles incluses dans ce grand groupe avec 3 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de moins de deux ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de moins de deux ans; ou de la formation en cours d'emploi, cours de formation ou expérience de travail particulière de plus de six mois ou des études secondaires partielles; ou l'accumulation de plusieurs années d'expérience d'une profession connexe trouvée dans FEER 4, le cas échéant (FEER 4 inclut des professions avec 4 comme deuxième chiffre dans leur code).",2,3,7,
75,"Helpers and labourers and other transport drivers, operators and labourers","This major group comprises helpers and labourers and other transport drivers, operators and labourers. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 5. Occupations classified in TEER 5, as those included in this group with a 5 as the second digit of their code, are typically accessible with short work demonstration and no formal educational requirements.","Aides et ouvriers / ouvrières et autres opérateurs / opératrices et manoeuvres de transport et personnel assimilé","Ce grand groupe comprend les aides et ouvriers/ouvrières et autres opérateurs/opératrices et manoeuvres de transport et personnel assimilé. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 5. Les professions du FEER 5, comme celles incluses dans ce grand groupe avec 5 comme deuxième chiffre dans leur code, sont généralement accessibles avec une brève démonstration de travail et aucune exigence en matière de formation scolaire formelle.",2,5,7,
22,"Technical occupations related to natural and applied sciences","This major group comprises technical occupations related to natural sciences; technical occupations related to applied sciences and engineering. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 2. Occupations classified in TEER 2, as those included in this group with a 2 as the second digit of their code, typically require completion of a post-secondary education program of two to three years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of two to five years; or supervisory or significant safety responsibilities; or the accumulation of several years of experience in a related occupation found in TEER 3, when applicable (TEER 3 includes occupations with a 3 as a second digit in their code).","Personnel technique assimilé aux sciences naturelles et appliquées","Ce grand groupe comprend le personnel technique assimilé aux sciences naturelles; le personnel technique assimilé aux sciences appliquées et à l'ingénierie. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 2. Les professions du FEER 2, comme celles incluses dans ce grand groupe avec 2 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de deux à trois ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de deux à cinq ans; ou des responsabilités de supervision ou des responsabilités importantes en matières de sécurité; ou l'accumulation de plusieurs années d'expérience dans une profession connexe trouvée dans FEER 3, le cas échéant (FEER 3 inclut des professions avec 3 comme deuxième chiffre dans leur code).",2,2,2,74
73,"General trades","This major group comprises general trades. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 3. Occupations classified in TEER 3, as those included in this group with a 3 as the second digit of their code, typically require completion of a post-secondary education program of less than two years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of less than two years; or more than six months of on-the-job training, training courses or specific work experience with some secondary school education; or the accumulation of several years of experience in a related occupation found in TEER 4, when applicable (TEER 4 includes occupations with a 4 as a second digit in their code).","Métiers généraux","Ce grand groupe comprend les métiers généraux. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 3. Les professions du FEER 3, comme celles incluses dans ce grand groupe avec 3 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de moins de deux ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de moins de deux ans; ou de la formation en cours d'emploi, cours de formation ou expérience de travail particulière de plus de six mois ou des études secondaires partielles; ou l'accumulation de plusieurs années d'expérience d'une profession connexe trouvée dans FEER 4, le cas échéant (FEER 4 inclut des professions avec 4 comme deuxième chiffre dans leur code).",2,3,7,
74,"Mail and message distribution, other transport equipment operators and related maintenance workers","This major group comprises mail and message distribution, other transport equipment operators and related maintenance workers. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 4. Occupations classified in TEER 4, as those included in this group with a 4 as the second digit of their code, typically require completion of secondary school; or several weeks of on-the-job training with some secondary school education; or experience in a related occupation from TEER 5, when applicable (TEER 5 includes occupations with a 5 as a second digit in their code).","Personnel au courrier et à la distribution de messages, autres conducteurs / conductrices de matériel de transport et personnel d'entretien assimilé","Ce grand groupe comprend le personnel au courrier et à la distribution de messages, autres conducteurs/conductrices de matériel de transport et personnel d'entretien assimilé. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 4. Les professions du FEER 4, comme celles incluses dans ce grand groupe avec 4 comme deuxième chiffre dans leur code, exigent généralement l'achèvement des études secondaires; ou plusieurs semaines de formation en cours d'emploi avec des études secondaires partielles; ou de l'expérience liée aux professions du FEER 5, le cas échéant (FEER 5 inclut des professions avec 5 comme deuxième chiffre dans leur code).",2,4,7,
75,"Helpers and labourers and other transport drivers, operators and labourers","This major group comprises helpers and labourers and other transport drivers, operators and labourers. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 5. Occupations classified in TEER 5, as those included in this group with a 5 as the second digit of their code, are typically accessible with short work demonstration and no formal educational requirements.","Aides et ouvriers / ouvrières et autres opérateurs / opératrices et manoeuvres de transport et personnel assimilé","Ce grand groupe comprend les aides et ouvriers/ouvrières et autres opérateurs/opératrices et manoeuvres de transport et personnel assimilé. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 5. Les professions du FEER 5, comme celles incluses dans ce grand groupe avec 5 comme deuxième chiffre dans leur code, sont généralement accessibles avec une brève démonstration de travail et aucune exigence en matière de formation scolaire formelle.",2,5,7,
73,"General trades","This major group comprises general trades. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 3. Occupations classified in TEER 3, as those included in this group with a 3 as the second digit of their code, typically require completion of a post-secondary education program of less than two years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of less than two years; or more than six months of on-the-job training, training courses or specific work experience with some secondary school education; or the accumulation of several years of experience in a related occupation found in TEER 4, when applicable (TEER 4 includes occupations with a 4 as a second digit in their code).","Métiers généraux","Ce grand groupe comprend les métiers généraux. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 3. Les professions du FEER 3, comme celles incluses dans ce grand groupe avec 3 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de moins de deux ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de moins de deux ans; ou de la formation en cours d'emploi, cours de formation ou expérience de travail particulière de plus de six mois ou des études secondaires partielles; ou l'accumulation de plusieurs années d'expérience d'une profession connexe trouvée dans FEER 4, le cas échéant (FEER 4 inclut des professions avec 4 comme deuxième chiffre dans leur code).",2,3,7,75
