Niveau,Structure hiérarchique,Code dela CNP 2021 v1.0,Titres de classes,Définitions de la classe
5,Groupe de base,32101,Infirmiers auxiliaires/infirmières auxiliaires,"Les infirmiers auxiliaires administrent des soins infirmiers aux patients, habituellement sous la supervision des médecins, des infirmiers autorisés ou d'autres membres de l'équipe de santé. Les techniciens de salle d'opération préparent les patients et assistent les médecins praticiens avant et pendant les chirurgies. Les infirmiers auxiliaires travaillent dans des centres hospitaliers, des maisons de soins infirmiers, des établissements de soins prolongés, des centres de réadaptation, des cabinets de médecins, des cliniques, des entreprises, des centres de santé communautaire et chez des particuliers. Les techniciens de salle d'opération travaillent dans les centres hospitaliers."
5,Groupe de base,32102,Personnel ambulancier et paramédical,"Le personnel ambulancier et paramédical donne des soins d'urgence pré-hospitaliers aux patients blessés ou malades et les transportent aux centres hospitaliers ou vers d'autres centres médicaux pour des soins plus poussés. Ils travaillent pour des services ambulanciers privés, des centres hospitaliers, des services d'incendie, des ministères et organismes gouvernementaux, des entreprises de fabrication, des sociétés minières et d'autres établissements du secteur privé. Ce groupe de base comprend également les membres du personnel ambulancier et paramédical qui agissent en tant que superviseurs."
5,Groupe de base,32103,"Inhalothérapeutes, perfusionnistes cardiovasculaires et technologues cardiopulmonaires","Les inhalothérapeutes aident les médecins à évaluer, à diagnostiquer, à traiter et à soigner les patients souffrant de troubles respiratoires et cardiopulmonaires. Les perfusionnistes cardiovasculaires fournissent une aide technique aux patients qui subissent une chirurgie cardiaque, ainsi qu'aux patients qui ont besoin de support respiratoire ou circulatoire. Les technologues cardiopulmonaires aident les médecins en ce qui a trait aux aspects techniques du diagnostic et du traitement des maladies cardiopulmonaires et respiratoires. Les inhalothérapeutes travaillent dans des centres hospitaliers, des établissements de soins prolongés, des centres de santé publique, des cliniques du sommeil, privées ou dentaires et des entreprises qui dispensent des services d'inhalothérapie à domicile. Les perfusionnistes cardiovasculaires et les technologues cardiopulmonaires travaillent principalement dans des centres hospitaliers. Ce groupe de base comprend les superviseurs et les formateurs en inhalothérapie, en perfusion cardiovasculaire et en technologie cardiopulmonaire."
5,Groupe de base,32104,Technologues en santé animale et techniciens/techniciennes vétérinaires,"Les technologues en santé animale et les techniciens vétérinaires apportent une aide technique aux vétérinaires dans les soins de santé animale, le diagnostic et le traitement des troubles de santé chez les animaux. Ils travaillent dans des cliniques et des hôpitaux vétérinaires, des fourrières, des sociétés protectrices des animaux, des jardins zoologiques, des laboratoires de recherche, au gouvernement et dans l'industrie pharmaceutique. Les technologues en santé animale et les techniciens vétérinaires qui occupent des postes de supervision sont compris dans ce groupe de base."
5,Groupe de base,32109,Autre personnel technique en thérapie et en diagnostic,"Les autres travailleurs techniques en thérapie et en diagnostic exécutent diverses tâches techniques en thérapie et en diagnostic. Certains d'entre eux aident les professionnels tels que les audiologistes, les orthophonistes, les ophtalmologistes, les physiothérapeutes et les ergothérapeutes. Ils travaillent dans des centres hospitaliers, des cliniques, des établissements de soins de longue durée, des centres de réadaptation, des centres de santé communautaires, des établissements d'enseignement, des magasins de vente au détail d'appareils auditifs, dans les cabinets privés des professionnels auxquels ils assistent ou peuvent être des travailleurs/travailleuses autonomes."
4,Sous-groupe,3211,Personnel technique en soins dentaires,"Ce sous-groupe comprend le personnel technique en soins dentaires, y compris les denturologistes; les hygiénistes et thérapeutes dentaires; et les technologues et techniciens/techniciennes dentaires. Ils/elles travaillent en pratique privée; dans des cabinets de dentistes, des hôpitaux et des cliniques; des établissements d'enseignement; des administrations publiques et organismes gouvernementaux; des laboratoires dentaires; et dans l'industrie privée."
5,Groupe de base,32110,Denturologistes,"Les denturologistes examinent les patients et conçoivent, fabriquent et réparent des prothèses dentaires amovibles. La plupart des denturologistes travaillent en cabinet privé. Ce groupe inclus aussi les apprentis."
5,Groupe de base,32111,Hygiénistes et thérapeutes dentaires,"Les hygiénistes dentaires assurent un traitement d'hygiène dentaire et fournissent des services reliés à la promotion de la santé bucco-dentaire ainsi qu'à la prévention des maladies et affections des dents et de la bouche. Ils travaillent dans une variété d'emplacements incluant des cabinets de dentistes, des centres hospitaliers, des cliniques privées, des établissements d'enseignement, des organismes publics ou comme travailleurs autonomes. Les thérapeutes dentaires remplissent des fonctions limitées dans le domaine de la médecine dentaire visant la restauration dentaire en plus de services d'hygiène dentaire. Ils travaillent pour le gouvernement fédéral et les gouvernements provinciaux et fournissent des services en milieu rural et dans les régions éloignées."
5,Groupe de base,32112,Technologues et techniciens/techniciennes dentaires,"Les technologues et techniciens dentaires conçoivent, préparent et fabriquent les dentiers et les prothèses dentaires prescrits par les dentistes et d'autres spécialistes. Ils travaillent dans des laboratoires dentaires. Les technologues et les techniciens dentaires qui exercent des fonctions de superviseur sont inclus dans ce groupe de base."
4,Sous-groupe,3212,Technologues et techniciens/techniciennes des sciences de la santé,"Ce sous-groupe comprend les technologues et techniciens/techniciennes des sciences de la santé, y compris les technologues de laboratoires médicaux; les technologues en radiation médicale; Technologues en échographie; les technologues en cardiologie et technologues en électrophysiologie diagnostique; les techniciens/techniciennes en pharmacie; et les autres technologues et techniciens/techniciennes des sciences de la santé. Ils/elles travaillent pour des laboratoires médicaux, de radiologie et de recherche en santé animale; des hôpitaux, des cliniques, des établissements de soins prolongés, des maisons de repos et des centres de santé publique et des centres de traitement du cancer; des entreprises qui dispensent des services d'inhalothérapie à domicile et des sociétés pharmaceutiques; des pharmacies de détail et d'hôpital; des fabricants de produits pharmaceutiques et de prothèses; des laboratoires de prothèses oculaires sur mesure, de prothétique et d'orthétique; des restaurants-minute, des cafétérias, des écoles et des établissements de soins de santé et de restauration commerciale; des hôpitaux et cliniques vétérinaires, des refuges pour animaux et zoos; des collèges et universités, des installations de recherche et le gouvernement; ou ils/elles peuvent être des travailleurs/travailleuses autonomes."
5,Groupe de base,32120,Technologues de laboratoires médicaux,"Les technologues de laboratoires médicaux effectuent des tests de laboratoire médical, des expériences et des analyses pour faciliter le diagnostic, le traitement, la surveillance et la prévention des maladies. Ils travaillent dans des laboratoires médicaux de centres hospitaliers, de banques de sang, de cliniques privées et communautaires, d'installations de recherche et d'établissements d'enseignement postsecondaire. Ce groupe de base comprend les technologistes médicaux qui sont également superviseurs."
5,Groupe de base,32121,Technologues en radiation médicale,"Les technologues en radiation médicale se servent d'appareils de radiographie et de radiothérapie afin d'administrer des rayons ionisants et d'obtenir des clichés des structures de l'organisme, pour diagnostiquer et traiter les lésions et les maladies. Ils travaillent dans des centres hospitaliers, des centres d'oncologie, des cliniques, des laboratoires de radiologie, des collèges et des universités. Ce groupe de base comprend les technologues en radiation médicale qui agissent en tant que superviseurs ou instituteurs cliniques."
5,Groupe de base,32122,Technologues en échographie,"Les technologues en échographie utilisent des appareils qui produisent et enregistrent des images de diverses parties du corps, afin d'aider les médecins à surveiller les grossesses et à diagnostiquer les problèmes cardiaques, ophtalmiques, vasculaires et les autres troubles de la santé. Ils travaillent dans des cliniques et des centres hospitaliers. Les technologues en échographie qui exercent des fonctions de superviseur ou de formateur sont inclus dans ce groupe de base."
5,Groupe de base,32123,Technologues en cardiologie et technologues en électrophysiologie diagnostique,"Les technologues en cardiologie utilisent des électrocardiogrammes et des technologies d'imagerie médicale pour enregistrer l'activité cardiaque des patients afin d'aider au diagnostic, à la surveillance et au traitement des maladies cardiaques. Les technologues en électrophysiologie diagnostique utilisent des appareils d'électroencéphalographie, d'électromyographie et d'autres appareils électrophysiologique de diagnostic afin d'aider les médecins à diagnostiquer les maladies, les lésions et les anomalies. Les technologues en cardiologie et les technologues en électrophysiologie diagnostique qui exercent des fonctions de superviseur ou de formateur sont inclus dans ce groupe de base. Ils travaillent dans des cliniques, des centres hospitaliers et des laboratoires médicaux."
5,Groupe de base,32124,Techniciens/techniciennes en pharmacie,"Les techniciens en pharmacie exercent des fonctions techniques liées aux ordonnances, notamment la collecte de renseignements concernant les patients, la préparation des produits, la distribution des produits et le contrôle des inventaires. Ils travaillent en étroite collaboration avec les pharmaciens pour fournir des soins pharmaceutiques aux clients. Les techniciens en pharmacie travaillent dans des pharmacies de détail, des pharmacies de centres hospitaliers, des établissements de soins de longue durée et pour des fabricants de produits pharmaceutiques. Les techniciens en pharmacie qui sont superviseurs sont inclus dans ce groupe de base."
5,Groupe de base,32129,Autres technologues et techniciens/techniciennes des sciences de la santé,"Les autres technologues et techniciens des sciences de la santé comprennent les technologues et les techniciens médicaux tels que les techniciens en diététique, les ocularistes, les prothésistes, les orthésistes, les techniciens prothésistes et les techniciens orthésistes. Les techniciens en diététique travaillent dans des établissements de soins de santé et de services alimentaires commerciaux comme les centres hospitaliers, établissements de soins prolongés, maisons de soins infirmiers, établissements d'enseignement, cafétérias et distributeurs de restauration rapide. Les ocularistes travaillent dans des laboratoires de prothèses oculaires sur mesure ou ils peuvent être des travailleurs/travailleuses autonomes. Les prothésistes, les orthésistes, les techniciens prothésistes et les techniciens orthésistes travaillent dans des centres hospitaliers, des cliniques, des laboratoires de prothèses et d'orthèses et dans des entreprises de fabrication d'appareils de prothèse. Les prothésistes et les orthésistes peuvent également être des travailleurs/travailleuses autonomes. Ce groupe inclus aussi les apprentis."
3,Sous-grand groupe,322,Praticiens/praticiennes des médecines douces,"Ce sous-grand groupe comprend les praticiens/praticiennes des médecines douces, y compris les praticiens/praticiennes en médecine traditionnelle chinoise et acupuncteurs, les massothérapeutes et les autres praticiens/praticiennes des médecines douces."
4,Sous-groupe,3220,Praticiens/praticiennes des médecines douces,"Ce sous-groupe comprend les praticiens/praticiennes des médecines douces, y compris les praticiens/praticiennes en médecine traditionnelle chinoise et acupuncteurs, les massothérapeutes et les autres praticiens/praticiennes des médecines douces. Ils/elles travaillent en pratique privée, ainsi que dans les cabinets privés des professionnels qu'ils aident; pour des points de vente au détail d'articles d'optique et des établissements de services d'optique; des cliniques, hôpitaux, établissements de soins infirmiers, établissements de soins de soins prolongés, centres de réadaptation et centres de santé communautaire; des centres de culture physique, spas et domiciles privés; des services ambulanciers et des services d'incendie; des ministères et organismes fédéraux; des entreprises de fabrication, d'exploitation minière et autres; et des établissements d'enseignement."
5,Groupe de base,32200,Praticiens/praticiennes en médecine traditionnelle chinoise et acupuncteurs/acupunctrices,"Les praticiens de la médecine traditionnelle chinoise et acupuncteurs évaluent, traitent et préviennent les maladies, conditions, troubles ou déséquilibres des patients en utilisant diverses formes de traitement incluant l'acupuncture, l'herbologie ou d'autres approches holistiques de santé. Ils travaillent habituellement en pratique privée, y compris dans des pratiques en groupe ou en équipe, dans des cliniques, des établissements de soins prolongés, des centres de réadaptation et des clubs de santé."
5,Groupe de base,32201,Massothérapeutes,"Les massothérapeutes évaluent le tissu mou et les articulations du corps en vue de traiter et de prévenir les dysfonctionnements, les blessures, les douleurs et les troubles physiques. Ils travaillent dans des cabinets privés, y compris les pratiques d'équipe ou de groupe, des centres hospitaliers, des cliniques, des établissements de soins prolongés, des centres de réadaptation et des établissements d'enseignement."
5,Groupe de base,32209,Autres praticiens/praticiennes des médecines douces,"Les praticiens des médecines douces fournissent des soins de santé aux patients en utilisant diverses formes de traitement, y compris l'herbologie, la réflexologie ou les techniques de relaxation pour promouvoir, maintenir et rétablir la santé holistique des patients. Ils exercent habituellement en cabinet privé, y compris les pratiques d'équipe ou de groupe, ou dans des cliniques, des centres de santé ou des spas."
2,Grand groupe,33,Personnel de soutien des services de santé,"Ce grand groupe comprend le personnel de soutien des services de santé. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 3. Les professions du FEER 3, comme celles incluses dans ce grand groupe avec 3 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de moins de deux ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de moins de deux ans; ou de la formation en cours d'emploi, cours de formation ou expérience de travail particulière de plus de six mois ou des études secondaires partielles; ou l'accumulation de plusieurs années d'expérience d'une profession connexe trouvée dans FEER 4, le cas échéant (FEER 4 inclut des professions avec 4 comme deuxième chiffre dans leur code)."
3,Sous-grand groupe,331,Personnel de soutien des services de santé,"Ce sous-grand groupe comprend le personnel de soutien des services de santé, y compris les assistants/assistantes dentaires et les auxiliaires dans les laboratoires dentaires; les assistants/assistantes de laboratoires médicaux et préposés/préposées techniques reliés; les aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires; les assistants techniques/assistantes techniques en pharmacie et assistants/assistantes en pharmacie; et les autres professions en soutien des services de santé."
4,Sous-groupe,3310,Personnel de soutien des services de santé,"Ce sous-groupe comprend le personnel de soutien des services de santé, y compris les assistants/assistantes dentaires et les auxiliaires dans les laboratoires dentaires; les assistants/assistantes de laboratoires médicaux et préposés/préposées techniques reliés; les aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires; les assistants techniques/assistantes techniques en pharmacie et assistants/assistantes en pharmacie; et les autres professions en soutien des services de santé. Ils/elles travaillent pour des hôpitaux, des cliniques, des centres de santé communautaire, des maisons de repos, des établissements pour personnes en perte d'autonomie et d'autres établissements de soins de santé; des cabinets de dentistes et des cabinets d'autres professionnels de la santé; des pharmacies et des magasins de détail en optique; des laboratoires de pathologies optiques et médicales; et des établissements d'enseignement."
5,Groupe de base,33100,Assistants/assistantes dentaires et auxiliaires dans les laboratoires dentaires,"Les assistants dentaires aident le dentiste, l'hygiéniste dentaire et le thérapeute dentaire durant les examens et les traitements dispensés aux patients et ils exécutent des tâches de bureau. Les auxiliaires dans les laboratoires dentaires aident les technologues et les techniciens dentaires à préparer et à fabriquer des prothèses et autres appareils dentaires. Les assistants dentaires travaillent dans des cabinets de dentiste, des centres de santé communautaire, des cliniques et des établissements d'enseignement. Les auxiliaires dans les laboratoires dentaires travaillent dans des laboratoires dentaires."
5,Groupe de base,33101,Assistants/assistantes de laboratoires médicaux et professions techniques connexes,"Les assistants de laboratoires médicaux et professions techniques reliés exécutent des tâches de pré-analyse et de pré-test telles que la recueille de sang et d'autres échantillons, le traitement des spécimens et la préparation de produits chimiques spéciaux appelés réactifs à utiliser dans les tests. Ils effectuent des tests courants de laboratoire et règlent, nettoient et entretiennent le matériel de laboratoire médical. Ils travaillent dans des laboratoires médicaux de centres hospitaliers, de cliniques, d'installations de recherche, d'établissements d'enseignement postsecondaire et dans des laboratoires de recherche gouvernementaux."
5,Groupe de base,33102,"Aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires","Les aides-infirmiers, les aides-soignants et les préposés aux bénéficiaires aident le personnel infirmier et hospitalier ainsi que les médecins dans les soins de base aux patients. Ils travaillent dans des centres hospitaliers, des maisons de santé, des résidences-services pour personnes âgées et d'autres établissements de santé. Les préposés aux soins médicaux d'urgence sont employés par des services d'ambulance privés, des centres de soins d'urgence ou d'autres établissements de santé."
5,Groupe de base,33103,Assistants techniques/assistantes techniques en pharmacie et assistants/assistantes en pharmacie,"Les assistants techniques en pharmacie effectuent des tâches techniques liées à la préparation des médicaments sous la supervision d'un pharmacien. Ils participent également à l'exécution des ordonnances et à la gestion des dossiers des patients. Les assistants en pharmacie effectuent des tâches de bureau et assistent les pharmaciens et les techniciens en pharmacie dans leurs tâches de distribution de médicaments. Les assistants techniques en pharmacie et les assistants en pharmacie travaillent dans des pharmacies de détail, des pharmacies de centres hospitaliers, des établissements de soins de longue durée et par les fabricants de produits pharmaceutiques."
5,Groupe de base,33109,Autre personnel de soutien des services de santé,"Les autres travailleurs de soutien des services de santé fournissent de l'aide et des services aux professionnels et autres intervenants dans le domaine de la santé. Ils travaillent dans des centres hospitaliers, des cliniques médicales, des bureaux de professionnels de la santé, des maisons de soins infirmiers, des magasins de détail et des laboratoires en optique et des laboratoires de pathologie."
1,Grande catégorie,4,"Enseignement, droit et services sociaux, communautaires et gouvernementaux","Cette grande catégorie comprend les directeurs/directrices de la fonction publique, de l'enseignement et des services sociaux et communautaires et des services de la protection du public, et englobe également les professions touchant à l'enseignement, au droit, au counseling, à la recherche en sciences sociales, à l'élaboration de politiques publiques et à l'administration de programmes gouvernementaux et de programmes des autres secteurs, et leurs personnels de soutien."
2,Grand groupe,40,"Directeurs/directrices de la fonction publique, de l'enseignement et des services sociaux et communautaires et des services de la protection du public","Ce grand groupe comprend les directeurs/directrices de la fonction publique, de l'enseignement et des services sociaux et communautaires et des services de la protection du public. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion."
3,Sous-grand groupe,400,"Directeurs/directrices de la fonction publique, de l'enseignement et des services sociaux et communautaires et des services de la protection du public","Ce sous-grand groupe comprend les directeurs/directrices de la fonction publique; des services d'enseignement; des services sociaux, communautaires et correctionnels; et des services de la protection du public."
4,Sous-groupe,4001,Directeurs/directrices de la fonction publique,"Ce sous-groupe comprend les directeurs/directrices de la fonction publique, y compris les gestionnaires de la fonction publique en élaboration de politiques et administration de programmes sociaux et de santé; les gestionnaires de la fonction publique en analyse économique, élaboration de politiques et administration de programmes; les gestionnaires de la fonction publique en élaboration de politiques en matière d'éducation et administration de programmes; et les autres gestionnaires de la fonction publique. Ils/elles travaillent pour des ministères, organismes et corps législatifs."
5,Groupe de base,40010,Gestionnaires de la fonction publique - élaboration de politiques et administration de programmes sociaux et de santé,"Les gestionnaires de la fonction publique en élaboration de politiques et administration de programmes sociaux et de santé planifient, organisent, dirigent, contrôlent et évaluent l'élaboration et l'administration des politiques de santé, des politiques sociales et des programmes connexes mis en place pour la protection et la promotion de la santé et du bien-être des individus et des collectivités. Ils travaillent à tous les ordres de gouvernement."
5,Groupe de base,40011,"Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes","Les gestionnaires de la fonction publique en analyse économique, élaboration de politiques et administration de programmes planifient, organisent, dirigent, contrôlent et évaluent les politiques, la recherche et les programmes économiques dans divers secteurs de l'administration publique tels que les impôts, le commerce international, le marché du travail, le transport ou l'agriculture. Ils planifient également des politiques et dirigent des programmes visant à favoriser les investissements industriels et commerciaux dans les régions urbaines et rurales. Ils travaillent à tous les ordres de gouvernement."
5,Groupe de base,40012,Gestionnaires de la fonction publique - élaboration de politiques en matière d'éducation et administration de programmes,"Les gestionnaires de la fonction publique en élaboration de politiques en matière d'éducation et administration de programmes planifient, organisent, dirigent, contrôlent et évaluent l'élaboration et l'application de politiques et de programmes d'enseignement primaire, secondaire et postsecondaire. Ils travaillent à tous les ordres de gouvernement."
5,Groupe de base,40019,Autres gestionnaires de la fonction publique,"Les autres gestionnaires de la fonction publique planifient, organisent, dirigent, contrôlent et évaluent l'élaboration de politiques et de programmes régissant les opérations quotidiennes des organismes gouvernementaux et des autres services exclusifs au gouvernement, notamment les affaires intergouvernementales et les élections. Ils travaillent à tous les ordres de gouvernement."
4,Sous-groupe,4002,Directeurs/directrices de l'enseignement,"Ce sous-groupe comprend les directeurs/directrices de l'enseignement, y compris les administrateurs/administratrices en enseignement postsecondaire et formation professionnelle, et les directeurs/directrices d'école et administrateurs/administratrices de programmes d'enseignement aux niveaux primaire et secondaire. Ils/elles travaillent dans des collèges, des universités, des écoles de formation professionnelle, des écoles primaires ou secondaires publiques et privées et des conseils scolaires."
5,Groupe de base,40020,Administrateurs/administratrices - enseignement postsecondaire et formation professionnelle,"Les administrateurs en enseignement postsecondaire et formation professionnelle comprennent les administrateurs de faculté, les registraires de collèges ou d'universités et les administrateurs d'écoles de formation professionnelle. Les administrateurs de faculté gèrent les activités scolaires et connexes des facultés des collèges ou des universités. Les registraires gèrent les services d'inscription et de tenue des dossiers des collèges ou des universités. Les administrateurs d'autres types d'écoles de formation professionnelle gèrent les activités des écoles de formation professionnelle de métiers, des instituts techniques, des écoles commerciales ou d'autres établissements professionnels."
5,Groupe de base,40021,Directeurs/directrices d'école et administrateurs/administratrices de programmes d'enseignement aux niveaux primaire et secondaire,"Les directeurs d'école planifient, organisent, dirigent, contrôlent et évaluent les activités du personnel enseignant et des autres employés dans une école primaire ou secondaire. Ils travaillent dans des écoles publiques ou privées. Les administrateurs de programmes d'enseignement aux niveaux primaire et secondaire planifient, organisent, dirigent, contrôlent et évaluent les affaires pédagogiques d'un système scolaire. Ils travaillent pour des commissions ou conseils scolaires."
4,Sous-groupe,4003,"Directeurs/directrices des services sociaux, communautaires et correctionnels","Ce sous-groupe comprend les directeurs/directrices des services sociaux, communautaires et correctionnels. Ils/elles travaillent dans des agences de services sociaux et communautaires, des établissements de correction, des services de counseling, des organisations syndicales, des associations professionnelles, des partis politiques et des organismes non gouvernementaux."
5,Groupe de base,40030,"Directeurs/directrices des services sociaux, communautaires et correctionnels","Les directeurs des services sociaux, communautaires et correctionnels planifient, organisent, dirigent, contrôlent et évaluent les programmes et les activités d'agences de services sociaux et communautaires, d'institutions correctionnelles, de services de counseling, d'organisations syndicales, d'associations professionnelles, de partis politiques et d'organismes non gouvernementaux."
4,Sous-groupe,4004,Directeurs/directrices des services de la protection du public,"Ce sous-groupe comprend les directeurs/directrices des services de la protection du public, y compris les officiers/officières de direction des services de police et professions connexes des services de la protection du public; les chefs et officiers supérieurs/officières supérieures des services d'incendie; et les officiers/officières de direction des Forces armées canadiennes. Ils/elles travaillent pour le gouvernement municipal, provincial ou fédéral et des établissements industriels dotés de services de lutte contre les incendies."
5,Groupe de base,40040,Officiers/officières de direction des services de police et professions connexes des services de la protection du public,"Les officiers de direction des services de police planifient, organisent, dirigent, contrôlent et évaluent l'administration de la force policière et les activités des services de police telles que le maintien de la loi et de l'ordre, la détection et la prévention du crime. Ils travaillent pour des administrations municipales et les gouvernements provinciaux et fédéral. Ce groupe de base comprend les officiers du rang d'inspecteur et de rangs supérieurs. Les officiers de direction de la police des chemins de fer, les coroners en chef adjoint et les médecin légiste en chef adjoint sont également inclus dans ce groupe de base."
5,Groupe de base,40041,Chefs et officiers supérieurs/officières supérieures des services d'incendie,"Les chefs et les officiers supérieurs des services d'incendie planifient, organisent, dirigent, contrôlent et évaluent les activités de lutte contre les incendies et de prévention des incendies. Ils travaillent pour les administrations municipales et le gouvernement fédéral et dans des établissements industriels ayant un service de lutte contre les incendies."
5,Groupe de base,40042,Officiers/officières de direction des Forces armées canadiennes,"Les officiers de direction des Forces armées canadiennes planifient, organisent, commandent, dirigent, contrôlent et évaluent les opérations de leur organisation par rapport aux objectifs fixés. Les officiers supérieurs formulent des politiques militaires et stratégiques qui déterminent la direction à prendre par les Forces canadiennes. Tous les grades des officiers commissionnés de l'Aviation royale du Canada, de l'Armée canadienne et de la Marine royale du Canada sont inclus dans ce groupe de base."
2,Grand groupe,41,"Personnel professionnel du droit, d'enseignement, des services gouvernementaux, sociaux et communautaires","Ce grand groupe comprend le personnel professionnel du droit, d'enseignement, des services gouvernementaux, sociaux et communautaires. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 1. Les professions du FEER 1, comme celles incluses dans ce grand groupe avec 1 comme deuxième chiffre dans leur code, exigent généralement un diplôme universitaire (baccalauréat, maîtrise ou doctorat) ou l'accumulation de plusieurs années d'expérience et d'expertise dans la connaissance du sujet matière dans une profession connexe trouvée dans FEER 2, le cas échéant (qui inclut des professions avec 2 comme deuxième chiffre dans leur code)."
3,Sous-grand groupe,411,Personnel professionnel du droit,"Ce sous-grand groupe comprend le personnel professionnel du droit, y compris les juges, avocats/avocates (partout au Canada) et les notaires au Québec."
4,Sous-groupe,4110,"Juges, avocats/avocates (partout au Canada) et notaires (au Québec)","Ce sous-groupe comprend le personnel professionnel du droit, y compris les juges, avocats/avocates (partout au Canada) et les notaires au Québec. Les juges président les tribunaux fédéraux et provinciaux. Les avocats travaillent dans des cabinets d'avocats ainsi que dans les bureaux du procureur. Au Québec, les notaires travaillent dans des études de notaires. Les avocats et les notaires (au Québec) travaillent au sein des administrations fédérales, provinciales et municipales, ainsi qu'au service de différentes entreprises; ou ils/elles peuvent être des travailleurs/travailleuses autonomes."
5,Groupe de base,41100,Juges,Les juges entendent les causes en matière civile ou criminelle et rendent la justice devant les tribunaux. Ils président les tribunaux fédéraux et provinciaux.
5,Groupe de base,41101,Avocats/avocates (partout au Canada) et notaires (au Québec),"Les avocats (partout au Canada) et notaires (au Québec) donnent à leurs clients des conseils juridiques, représentent leurs clients devant les comités d'administration et rédigent des documents juridiques tels que des contrats et des testaments. Les avocats plaident également des causes, représentent leurs clients et intentent des poursuites devant les tribunaux. Les avocats travaillent dans des cabinets d'avocats ainsi que dans les bureaux du procureur. Au Québec, les notaires travaillent dans des études de notaires. Les avocats (partout au Canada) et les notaires (au Québec) travaillent au sein des administrations fédérale, provinciales et municipales, ainsi qu'au service de différentes entreprises, ou ils peuvent être des travailleurs autonomes. Ce groupe de base comprend aussi les stagiaires en droit."
3,Sous-grand groupe,412,Personnel professionnel en services d'enseignement,"Ce sous-grand groupe comprend le personnel professionnel en services d'enseignement, y compris les professeurs/professeures d'université et assistants/assistantes d'enseignement au niveau postsecondaire; les enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle; et les enseignants/enseignantes aux niveaux secondaire, primaire et préscolaire."
4,Sous-groupe,4120,Professeurs/professeures d'université et assistants/assistantes d'enseignement au niveau postsecondaire,"Ce sous-groupe comprend les professeurs/professeures et chargés/chargées de cours d'université, et les assistants/assistantes d'enseignement et de recherche au niveau postsecondaire. Ils/elles travaillent pour des universités et collèges."
5,Groupe de base,41200,Professeurs/professeures et chargés/chargées de cours au niveau universitaire,Les professeurs et chargés de cours au niveau universitaire donnent des cours aux étudiants de premier cycle et d'études supérieures et font des recherches dans des universités. Les professeurs d'université qui sont chefs de département sont compris dans ce groupe de base.
5,Groupe de base,41201,Assistants/assistantes d'enseignement et de recherche au niveau postsecondaire,"Les assistants d'enseignement et de recherche au niveau postsecondaire assistent les professeurs d'université, de collège communautaire et de cégep ainsi que les autres membres des facultés dans leurs cours et leurs travaux de recherche, dans les universités et les collèges."
4,Sous-groupe,4121,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle,"Ce sous-groupe comprend les enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle. Ils/elles enseignent dans des collèges communautaires, des cégeps, des collèges d'agriculture, des instituts techniques et professionnels, des écoles de langue et d'autres établissements de niveau collégial. Ce sous-groupe englobe également les formateurs qui travaillent au sein d'établissements d'enseignement privés, d'entreprises, d'organismes communautaires et des gouvernements pour donner des cours internes de formation ou de perfectionnement."
5,Groupe de base,41210,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle,"Les enseignants au niveau collégial et les autres instructeurs en formation professionnelle enseignent les matières scolaires, les arts appliqués, les matières de formation professionnelle et les techniques dans des cégeps, des collèges communautaires, des collèges d'agriculture, des instituts techniques et professionnels, des écoles de langue et d'autres établissements de niveau collégial. Ce groupe de base comprend aussi les formateurs qui travaillent au sein d'établissements d'enseignement privés, d'entreprises, d'organismes communautaires et des gouvernements pour donner des cours internes de formation ou de perfectionnement. Les enseignants au niveau collégial qui sont chefs de département sont compris dans ce groupe de base."
4,Sous-groupe,4122,"Enseignants/enseignantes aux niveaux secondaire, primaire et préscolaire","Ce sous-groupe comprend les enseignants/enseignantes aux niveaux secondaire, primaire et préscolaire. Ils/elles travaillent pour des écoles secondaires et primaires publiques et privées, des conseils scolaires et des établissements d'enseignement postsecondaire."
5,Groupe de base,41220,Enseignants/enseignantes au niveau secondaire,"Les enseignants au niveau secondaire préparent et enseignent des matières de formation générale, technique, spécialisée ou professionnelle dans des établissements d'enseignement secondaire, publics ou privés. Les enseignants au niveau secondaire qui occupent des postes de chef de département sont inclus dans ce groupe de base."
