NOC 2006 Code,NOC 2006 Label,NOC 2011 Code,NOC 2011 Label,Description
7435,Lock and Cable Ferry Operators and Related Occupations,7533,Boat and cable ferry operators and related occupations,New code and modified label - includes former unit group 7436
7436,Boat Operators,7533,Boat and cable ferry operators and related occupations,Merged with former 7435 and moved to new code 7533
7437,Air Transport Ramp Attendants,7534,Air transport ramp attendants,New code
,,7535,Other automotive mechanical installers and servicers,New code and modified label - former 7443
7443,Automotive Mechanical Installers and Servicers,7535,Other automotive mechanical installers and servicers,New code and modified label
7452,Material Handlers,6721,"Support occupations in accommodation, travel and facilities set-up services",Facilities porters moved to new code 6721
7452,Material Handlers,7452,Material handlers,Except facilities porters
7612,Other Trades Helpers and Labourers,7522,Public works maintenance equipment operators and related workers,Utility arborists moved to new code 7522
7612,Other Trades Helpers and Labourers,7612,Other trades helpers and labourers,Except utility arborists
8222,"Supervisors, Oil and Gas Drilling and Service",8222,"Contractors and supervisors, oil and gas drilling and services",Modified label
8251,Farmers and Farm Managers,821,Managers in agriculture,Relocated to new code 0821 and modified label
8252,Agricultural and Related Service Contractors and Managers,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",Modified label - includes former unit group 8253
8253,Farm Supervisors and Specialized Livestock Workers,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",Merged with 8252
8254,Nursery and Greenhouse Operators and Managers,822,Managers in horticulture,Relocated to new code 0822 and modified label
8255,Landscaping and Grounds Maintenance Contractors and Managers,8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",Modified label - includes former unit group 8256
8256,"Supervisors, Landscape and Horticulture",8255,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",Merged with 8255
8257,Aquaculture Operators and Managers,823,Managers in aquaculture,Relocated to new code 0823 and modified label
8262,Fishing Vessel Skippers and Fishermen/women,8262,Fishermen/women,Modified label
8412,Oil and Gas Well Drilling Workers and Services Operators,8412,Oil and gas well drilling and related workers and services operators,Modified label
9213,"Supervisors, Food, Beverage and Tobacco Processing",9213,"Supervisors, food, beverage and associated products processing",Modified label
9216,"Supervisors, Textile Processing",9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",New code and modified label - includes former unit group 9225
9225,"Supervisors, Fabric, Fur and Leather Products Manufacturing",9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",Merged with former 9216 and moved to new code 9217
9233,Pulping Control Operators,9235,"Pulping, papermaking and coating control operators",Pulping technicians and control operators from former 9233 moved to new code 9235
9233,Pulping Control Operators,9432,Pulp mill machine operators,Pulp and paper digester and related machine operators moved to 9432
9234,Papermaking and Coating Control Operators,9235,"Pulping, papermaking and coating control operators",Papermaking and coating control operators from former 9234 moved to new code 9235
9234,Papermaking and Coating Control Operators,9433,Papermaking and finishing machine operators,Paper coating and related machine operators moved to 9433
,,9235,"Pulping, papermaking and coating control operators","New code and modified label - includes former 9233, except pulp and paper digester and related machine operators. Also includes former 9234, except paper coating and related machine operators."
,,9241,Power engineers and power systems operators,New code and modified label - former 7351 and 7352 merged and relocated
,,9243,Water and waste treatment plant operators,New code and modified label - relocated from former 9424
,,9416,Metalworking and forging machine operators,New code and modified label - includes merge of former unit groups 9512 and 9514
,,9417,Machining tool operators,New code - former 9511
,,9418,Other metal products machine operators,New code - former 9516
9424,Water and Waste Plant Operators,9243,Water and waste treatment plant operators,Relocated to new code 9243 and modified label
9432,Pulp Mill Machine Operators,9432,Pulp mill machine operators,Includes pulp and paper digester and related machine operators from former 9233
9433,Papermaking and Finishing Machine Operators,9433,Papermaking and finishing machine operators,Includes paper coating and related machine operators from former 9234
,,9437,Woodworking machine operators,New code - former 9513
9441,Textile Fibre and Yarn Preparation Machine Operators,9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",Modified label - includes former unit groups 9443 and 9453
9443,Textile Dyeing and Finishing Machine Operators,9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",Merged with 9441
9444,"Textile Inspectors, Graders and Samplers",9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",Merged with former 9454 and moved to new code 9447
9451,Sewing Machine Operators,9446,Industrial sewing machine operators,New code and modified label
9452,"Fabric, Fur and Leather Cutters",9445,"Fabric, fur and leather cutters",New code
9453,Hide and Pelt Processing Workers,9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",Merged with 9441
9454,"Inspectors and Testers, Fabric, Fur and Leather Products Manufacturing",9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",New code and modified label - includes merge of former unit groups 9444 and 9454
9461,"Process Control and Machine Operators, Food and Beverage Processing",9461,"Process control and machine operators, food, beverage and associated products processing",Modified label - includes former unit group 9464
9463,Fish Plant Workers,9463,Fish and seafood plant workers,Modified label
9464,Tobacco Processing Machine Operators,9461,"Process control and machine operators, food, beverage and associated products processing",Merged with 9461
9465,"Testers and Graders, Food and Beverage Processing",9465,"Testers and graders, food, beverage and associated products processing",Modified label
9471,Printing Machine Operators,9471,Plateless printing equipment operators,Modified label
9481,Aircraft Assemblers and Aircraft Assembly Inspectors,9521,Aircraft assemblers and aircraft assembly inspectors,New code
9482,"Motor Vehicle Assemblers, Inspectors and Testers",9522,"Motor vehicle assemblers, inspectors and testers",New code
9483,"Electronics Assemblers, Fabricators, Inspectors and Testers",9523,"Electronics assemblers, fabricators, inspectors and testers",New code
9484,"Assemblers and Inspectors, Electrical Appliance, Apparatus and Equipment Manufacturing",9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",New code
9485,"Assemblers, Fabricators and Inspectors, Industrial Electrical Motors and Transformers",9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",New code
9486,Mechanical Assemblers and Inspectors,9526,Mechanical assemblers and inspectors,New code
9487,"Machine Operators and Inspectors, Electrical Apparatus Manufacturing",9527,"Machine operators and inspectors, electrical apparatus manufacturing",New code
9491,Boat Assemblers and Inspectors,9531,Boat assemblers and inspectors,New code
9492,Furniture and Fixture Assemblers and Inspectors,9532,Furniture and fixture assemblers and inspectors,New code
9493,Other Wood Products Assemblers and Inspectors,9533,Other wood products assemblers and inspectors,New code
9494,Furniture Finishers and Refinishers,9534,Furniture finishers and refinishers,New code
9495,"Plastic Products Assemblers, Finishers and Inspectors",9535,"Plastic products assemblers, finishers and inspectors",New code
9496,Painters and Coaters - Industrial,9536,"Industrial painters, coaters and metal finishing process operators",New code and modified label - includes merge of former unit groups 9496 and 9497
9497,"Plating, Metal Spraying and Related Operators",9536,"Industrial painters, coaters and metal finishing process operators",Merged with former 9496 and moved to new code 9536
9498,Other Assemblers and Inspectors,9537,"Other products assemblers, finishers and inspectors",New code and modified label - includes merge of former unit groups 9498 and 9517
9511,Machining Tool Operators,9417,Machining tool operators,New code
9512,Forging Machine Operators,9416,Metalworking and forging machine operators,Merged with 9514 and recoded as 9416
9513,Woodworking Machine Operators,9437,Woodworking machine operators,New code
9514,Metalworking Machine Operators,9416,Metalworking and forging machine operators,Merged with former 9512 and moved to new code 9416
9516,Other Metal Products Machine Operators,9418,Other Metal Products Machine Operators,New code
9517,Other Products Machine Operators,9537,"Other products assemblers, finishers and inspectors",Merged with former 9498 and moved to new code 9537
9617,"Labourers in Food, Beverage and Tobacco Processing",9617,"Labourers in food, beverage and associated products processing",Modified label
9618,Labourers in Fish Processing,9618,Labourers in fish and seafood processing,Modified label
