NOC 2016 Code (3-digit),NOC 2016 Label,NOC 2016 Skill level,NOC 2021 Code (4-digit),NOC 2021 Label,NOC 2021 TEER,Description
,,,7520,Taxi and personal service and delivery service drivers,5,Minor group 751 was split. Unit group 7513 (now 75200) and job titles related to delivery service drivers and door-to-door distributors moved from minor group 751 to 7520.
752,Heavy equipment operators,C,7340,"Operators, drillers and blasters",3,Minor group 752 was split. Unit group 7521 (now 73400) moved from minor group 752 to 7340.
,,,7420,"Transport equipment operators, utility maintenance and related maintenance workers",4,Minor group 752 was split. Unit group 7522 (now 74204) moved from minor group 752 to 7420.
753,Other transport equipment operators and related maintenance workers,C,7420,"Transport equipment operators, utility maintenance and related maintenance workers",4,"Minor group 753 was split. Unit groups 7531 (now 74200), 7532 (now 74201), 7534 (now 74202) and 7535 (now 74203) moved from minor group 753 to 7420."
,,,7521,Water and rail transport operators and labourers and related occupations,5,Minor group 753 was split. Unit group 7533 (now 75210) moved from minor group 753 to 7521.
761,Trades helpers and labourers,D,7511,Trades helpers and labourers,5,N/A
762,"Public works and other labourers, n.e.c.",D,7521,Water and rail transport operators and labourers and related occupations,5,Label modified.
821,"Supervisors, logging and forestry",B,8201,"Supervisors, logging and forestry",2,N/A
822,"Contractors and supervisors, mining, oil and gas",B,8202,"Contractors and supervisors, mining, oil and gas",2,N/A
823,"Underground miners, oil and gas drillers and related occupations",B,8310,"Underground miners, oil and gas drillers and related occupations",3,N/A
824,Logging machinery operators,B,8311,Logging machinery operators,3,N/A
825,"Contractors and supervisors, agriculture, horticulture and related operations and services",B,7260,Transportation officers and controllers,2,"Job title ""Aerial crop dusting service contractor"" moved from minor group 825 to 7260."
,,,8203,"Contractors and supervisors, agriculture, horticulture and related operations and services",2,Unit groups 8252 (now 82030) and 8255 (now 82031) moved from minor group 825 to 8203.
,,,8412,Workers in agriculture and fishing occupations,4,Job titles related to specialized livestock work moved from minor group 825 to 8412.
,,,8510,"Agriculture, horticulture and harvesting labourers and related occupations",5,"Job title ""Feedlot herd attendant"" moved from minor group 825 to 8510."
826,Fishing vessel masters and fishermen / women,B,8312,Fishing vessel masters and fishermen / women,3,French label of this minor group has been modified.
841,Mine service workers and operators in oil and gas drilling,C,8410,Mine service workers and operators in oil and gas drilling,4,French label of this minor group has been modified.
842,Logging and forestry workers,C,8411,Logging and forestry workers,4,N/A
843,Agriculture and horticulture workers,C,8412,Workers in agriculture and fishing occupations,4,Job titles related to farm machinery operation moved from minor group 843 to 8412.
,,,8510,"Agriculture, horticulture and harvesting labourers and related occupations",5,Unit groups 8431 (now 85100 and 85101) and 8432 (now 85103) moved from minor group 843 to 8510.
844,Other workers in fishing and trapping and hunting occupations,C,8412,Workers in agriculture and fishing occupations,4,Minor group 844 was split. Unit group 8441 (now 84121) moved from minor group 844 to 8412.
,,,8510,"Agriculture, horticulture and harvesting labourers and related occupations",5,Minor group 844 was split. Unit group 8442 (now 85104) moved from minor group 844 to 8510.
861,"Harvesting, landscaping and natural resources labourers",D,8510,"Agriculture, horticulture and harvesting labourers and related occupations",5,Minor group 861 was split. Unit groups 8611 (now 85101) and 8613 (now 85102) moved from minor group 861 to 8510.
,,,8511,"Mine and oil and gas drilling, services and related labourers",5,Minor group 861 was split. Unit groups 8614 (now 85110) and 8615 (now 85111) moved from minor group 861 to 8511.
,,,8512,"Logging, forestry, landscaping and other related labourers",5,Minor group 861 was split. Unit groups 5612 (now 85121) and 5616 (now 5120) moved from minor group 861 to 8512.
921,"Supervisors, processing and manufacturing occupations",B,9201,"Supervisors, processing and manufacturing occupations",,N/A
922,"Supervisors, assembly and fabrication",B,9202,"Supervisors, assembly and fabrication",,N/A
923,Central control and process operators in processing and manufacturing,B,9310,Central control and process operators in processing and manufacturing,,N/A
924,Utilities equipment operators and controllers,B,9210,Utilities equipment operators and controllers,,N/A
941,Machine operators and related workers in mineral and metal products processing and manufacturing,C,9410,Machine operators and related workers in mineral and metal products processing and manufacturing,,N/A
942,"Machine operators and related workers in chemical, plastic and rubber processing",C,9411,"Machine operators and related workers in chemical, plastic and rubber processing",,"Unit groups 9421 (now 94110), 9422 (now 94111) and 9423 (now 94112) moved from minor group 942 to 9411."
,,,9510,"Labourers in processing, manufacturing and utilities",,"Job title ""Ring furnace operator helper"" moved from minor group 942 to 9510."
943,Machine operators and related workers in pulp and paper production and wood processing and manufacturing,C,9412,Machine operators and related workers in pulp and paper production and wood processing and manufacturing,,N/A
944,"Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",C,9413,"Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing",,"Minor group 944 was split. Unit groups 9441 (now 94130), 9442 (now 94131), 9446 (now 94132) and 9447 (now 94133) moved from minor group 944 to 9413."
,,,9510,"Labourers in processing, manufacturing and utilities",,"Minor group 944 was split. Unit group 9445 (now 95105) and job title ""Cloth-printing machine helper"" moved from minor group 944 to 9510."
946,"Machine operators and related workers in food, beverage and associated products processing",C,9414,"Machine operators and related workers in food, beverage and associated products processing",,N/A
947,Printing equipment operators and related occupations,C,9415,Printing equipment operators and related occupations,,N/A
952,"Mechanical, electrical and electronics assemblers",C,9320,Aircraft assemblers and aircraft assembly inspectors,,Minor group 952 was split. Unit group 9521 (now 93200) moved from minor group 952 to 9320.
,,,9420,"Mechanical, electrical and electronics assemblers and inspectors",,"Minor group 952 was split. Unit groups 9522 (now 94200), 9523 (now 94201), 9524 (now 94202), 9525 (now 94203), 9526 (now 94204) and 9527 (now 94205) moved from minor group 952 to 9420."
953,Other assembly and related occupations,C,9421,"Furniture, wood, plastic and other products assemblers, finishers and inspectors",,Label modified.
961,"Labourers in processing, manufacturing and utilities",B,9414,"Machine operators and related workers in food, beverage and associated products processing",,"Job title ""fish flaker - fish processing"" moved from minor group 961 to 9414."
,,,9510,"Labourers in processing, manufacturing and utilities",,"Unit groups 9611 (now 95100), 9612 (now 95101), 9613 (now 95102), 9614 (now 95103), 9615 (now 95104), 9616 (now 95105), 9617 (now 95106), 9618 (now 95107) and 9619 (now 95109) moved from minor group 961 to 9510."
